"","formulae","accuracy"
"790","dummy.living ~ neigh1 + left2tile + verticalness",0.725
"796","dummy.living ~ neigh1 + left2tile + nr_regions",0.725
"801","dummy.living ~ neigh1 + right2tile + top2tile",0.725
"802","dummy.living ~ neigh1 + right2tile + bottom2tile",0.725
"819","dummy.living ~ neigh1 + top2tile + bottom2tile",0.725
"964","dummy.living ~ left2tile + left_diagonals + hollowness",0.725
"998","dummy.living ~ right2tile + bottom2tile + hollowness",0.725
"1037","dummy.living ~ verticalness + horizontalness + right_diagonals",0.725
"1123","dummy.living ~ left_diagonals + right_diagonals + hollowness",0.725
"72","dummy.living ~ nr_pix + cols_with_5 + top2tile",0.71875
"158","dummy.living ~ nr_pix + left_diagonals + nr_regions",0.71875
"222","dummy.living ~ height + cols_with_5 + left2tile",0.71875
"223","dummy.living ~ height + cols_with_5 + right2tile",0.71875
"231","dummy.living ~ height + cols_with_5 + nr_eyes",0.71875
"232","dummy.living ~ height + cols_with_5 + hollowness",0.71875
"243","dummy.living ~ height + neigh1 + nr_regions",0.71875
"259","dummy.living ~ height + left2tile + right2tile",0.71875
"292","dummy.living ~ height + top2tile + right_diagonals",0.71875
"319","dummy.living ~ height + nr_regions + nr_eyes",0.71875
"321","dummy.living ~ height + nr_regions + avg_pixel_weight",0.71875
"352","dummy.living ~ width + rows_with_5 + nr_regions",0.71875
"404","dummy.living ~ width + left2tile + hollowness",0.71875
"616","dummy.living ~ rows_with_5 + neigh5 + nr_regions",0.71875
"656","dummy.living ~ rows_with_5 + top2tile + hollowness",0.71875
"718","dummy.living ~ cols_with_5 + left2tile + nr_regions",0.71875
"752","dummy.living ~ cols_with_5 + bottom2tile + nr_regions",0.71875
"815","dummy.living ~ neigh1 + verticalness + nr_regions",0.71875
"817","dummy.living ~ neigh1 + verticalness + hollowness",0.71875
"916","dummy.living ~ neigh5 + nr_regions + hollowness",0.71875
"987","dummy.living ~ right2tile + top2tile + left_diagonals",0.71875
"1026","dummy.living ~ verticalness + top2tile + nr_eyes",0.71875
"1055","dummy.living ~ verticalness + nr_eyes + avg_pixel_weight",0.71875
"1057","dummy.living ~ top2tile + bottom2tile + horizontalness",0.71875
"1087","dummy.living ~ bottom2tile + horizontalness + nr_regions",0.71875
"1093","dummy.living ~ bottom2tile + left_diagonals + nr_eyes",0.71875
"76","dummy.living ~ nr_pix + cols_with_5 + right_diagonals",0.7125
"210","dummy.living ~ height + rows_with_5 + verticalness",0.7125
"215","dummy.living ~ height + rows_with_5 + right_diagonals",0.7125
"219","dummy.living ~ height + rows_with_5 + avg_pixel_weight",0.7125
"305","dummy.living ~ height + horizontalness + right_diagonals",0.7125
"388","dummy.living ~ width + neigh5 + horizontalness",0.7125
"436","dummy.living ~ width + bottom2tile + nr_regions",0.7125
"571","dummy.living ~ span + right_diagonals + nr_regions",0.7125
"663","dummy.living ~ rows_with_5 + bottom2tile + hollowness",0.7125
"695","dummy.living ~ cols_with_5 + neigh1 + nr_regions",0.7125
"723","dummy.living ~ cols_with_5 + right2tile + top2tile",0.7125
"745","dummy.living ~ cols_with_5 + top2tile + nr_regions",0.7125
"800","dummy.living ~ neigh1 + right2tile + verticalness",0.7125
"900","dummy.living ~ neigh5 + horizontalness + left_diagonals",0.7125
"917","dummy.living ~ neigh5 + nr_regions + avg_pixel_weight",0.7125
"973","dummy.living ~ left2tile + nr_eyes + hollowness",0.7125
"990","dummy.living ~ right2tile + top2tile + nr_eyes",0.7125
"1007","dummy.living ~ right2tile + left_diagonals + nr_regions",0.7125
"1033","dummy.living ~ verticalness + bottom2tile + nr_eyes",0.7125
"1062","dummy.living ~ top2tile + bottom2tile + hollowness",0.7125
"1072","dummy.living ~ top2tile + left_diagonals + nr_eyes",0.7125
"1106","dummy.living ~ horizontalness + left_diagonals + right_diagonals",0.7125
"1","dummy.living ~ nr_pix + height + width",0.70625
"8","dummy.living ~ nr_pix + height + right2tile",0.70625
"71","dummy.living ~ nr_pix + cols_with_5 + verticalness",0.70625
"102","dummy.living ~ nr_pix + neigh5 + nr_regions",0.70625
"168","dummy.living ~ nr_pix + nr_regions + avg_pixel_weight",0.70625
"188","dummy.living ~ height + width + avg_pixel_weight",0.70625
"216","dummy.living ~ height + rows_with_5 + nr_regions",0.70625
"267","dummy.living ~ height + left2tile + nr_eyes",0.70625
"299","dummy.living ~ height + bottom2tile + right_diagonals",0.70625
"303","dummy.living ~ height + bottom2tile + avg_pixel_weight",0.70625
"365","dummy.living ~ width + cols_with_5 + right_diagonals",0.70625
"451","dummy.living ~ width + right_diagonals + nr_regions",0.70625
"480","dummy.living ~ span + cols_with_5 + verticalness",0.70625
"633","dummy.living ~ rows_with_5 + right2tile + bottom2tile",0.70625
"672","dummy.living ~ rows_with_5 + left_diagonals + nr_regions",0.70625
"681","dummy.living ~ rows_with_5 + nr_regions + hollowness",0.70625
"697","dummy.living ~ cols_with_5 + neigh1 + hollowness",0.70625
"772","dummy.living ~ cols_with_5 + nr_regions + hollowness",0.70625
"791","dummy.living ~ neigh1 + left2tile + top2tile",0.70625
"805","dummy.living ~ neigh1 + right2tile + right_diagonals",0.70625
"808","dummy.living ~ neigh1 + right2tile + hollowness",0.70625
"867","dummy.living ~ neigh5 + right2tile + top2tile",0.70625
"915","dummy.living ~ neigh5 + nr_regions + nr_eyes",0.70625
"997","dummy.living ~ right2tile + bottom2tile + nr_eyes",0.70625
"21","dummy.living ~ nr_pix + width + cols_with_5",0.7
"74","dummy.living ~ nr_pix + cols_with_5 + horizontalness",0.7
"271","dummy.living ~ height + right2tile + top2tile",0.7
"277","dummy.living ~ height + right2tile + nr_eyes",0.7
"293","dummy.living ~ height + top2tile + nr_regions",0.7
"296","dummy.living ~ height + top2tile + avg_pixel_weight",0.7
"412","dummy.living ~ width + right2tile + nr_regions",0.7
"421","dummy.living ~ width + verticalness + nr_regions",0.7
"479","dummy.living ~ span + cols_with_5 + right2tile",0.7
"485","dummy.living ~ span + cols_with_5 + right_diagonals",0.7
"486","dummy.living ~ span + cols_with_5 + nr_regions",0.7
"538","dummy.living ~ span + verticalness + horizontalness",0.7
"572","dummy.living ~ span + right_diagonals + nr_eyes",0.7
"648","dummy.living ~ rows_with_5 + verticalness + hollowness",0.7
"667","dummy.living ~ rows_with_5 + horizontalness + nr_regions",0.7
"946","dummy.living ~ left2tile + top2tile + hollowness",0.7
"1001","dummy.living ~ right2tile + horizontalness + right_diagonals",0.7
"1039","dummy.living ~ verticalness + horizontalness + nr_eyes",0.7
"1060","dummy.living ~ top2tile + bottom2tile + nr_regions",0.7
"1115","dummy.living ~ horizontalness + nr_regions + nr_eyes",0.7
"63","dummy.living ~ nr_pix + rows_with_5 + nr_regions",0.69375
"103","dummy.living ~ nr_pix + neigh5 + nr_eyes",0.69375
"136","dummy.living ~ nr_pix + top2tile + bottom2tile",0.69375
"174","dummy.living ~ height + width + cols_with_5",0.69375
"179","dummy.living ~ height + width + verticalness",0.69375
"185","dummy.living ~ height + width + nr_regions",0.69375
"246","dummy.living ~ height + neigh1 + avg_pixel_weight",0.69375
"300","dummy.living ~ height + bottom2tile + nr_regions",0.69375
"457","dummy.living ~ width + nr_regions + avg_pixel_weight",0.69375
"478","dummy.living ~ span + cols_with_5 + left2tile",0.69375
"601","dummy.living ~ rows_with_5 + neigh1 + horizontalness",0.69375
"712","dummy.living ~ cols_with_5 + left2tile + verticalness",0.69375
"722","dummy.living ~ cols_with_5 + right2tile + verticalness",0.69375
"851","dummy.living ~ neigh1 + nr_regions + avg_pixel_weight",0.69375
"857","dummy.living ~ neigh5 + left2tile + top2tile",0.69375
"858","dummy.living ~ neigh5 + left2tile + bottom2tile",0.69375
"923","dummy.living ~ left2tile + right2tile + bottom2tile",0.69375
"945","dummy.living ~ left2tile + top2tile + nr_eyes",0.69375
"953","dummy.living ~ left2tile + bottom2tile + hollowness",0.69375
"977","dummy.living ~ right2tile + verticalness + bottom2tile",0.69375
"989","dummy.living ~ right2tile + top2tile + nr_regions",0.69375
"1052","dummy.living ~ verticalness + nr_regions + hollowness",0.69375
"1113","dummy.living ~ horizontalness + right_diagonals + hollowness",0.69375
"18","dummy.living ~ nr_pix + height + avg_pixel_weight",0.6875
"85","dummy.living ~ nr_pix + neigh1 + top2tile",0.6875
"244","dummy.living ~ height + neigh1 + nr_eyes",0.6875
"324","dummy.living ~ height + hollowness + avg_pixel_weight",0.6875
"579","dummy.living ~ span + nr_eyes + avg_pixel_weight",0.6875
"626","dummy.living ~ rows_with_5 + left2tile + right_diagonals",0.6875
"733","dummy.living ~ cols_with_5 + verticalness + bottom2tile",0.6875
"738","dummy.living ~ cols_with_5 + verticalness + nr_eyes",0.6875
"878","dummy.living ~ neigh5 + verticalness + horizontalness",0.6875
"952","dummy.living ~ left2tile + bottom2tile + nr_eyes",0.6875
"981","dummy.living ~ right2tile + verticalness + nr_regions",0.6875
"992","dummy.living ~ right2tile + top2tile + avg_pixel_weight",0.6875
"1011","dummy.living ~ right2tile + right_diagonals + nr_regions",0.6875
"1034","dummy.living ~ verticalness + bottom2tile + hollowness",0.6875
"1075","dummy.living ~ top2tile + right_diagonals + nr_regions",0.6875
"1138","dummy.living ~ nr_regions + nr_eyes + avg_pixel_weight",0.6875
"3","dummy.living ~ nr_pix + height + rows_with_5",0.68125
"9","dummy.living ~ nr_pix + height + verticalness",0.68125
"53","dummy.living ~ nr_pix + rows_with_5 + neigh1",0.68125
"120","dummy.living ~ nr_pix + right2tile + horizontalness",0.68125
"123","dummy.living ~ nr_pix + right2tile + nr_regions",0.68125
"208","dummy.living ~ height + rows_with_5 + left2tile",0.68125
"211","dummy.living ~ height + rows_with_5 + top2tile",0.68125
"269","dummy.living ~ height + left2tile + avg_pixel_weight",0.68125
"290","dummy.living ~ height + top2tile + horizontalness",0.68125
"309","dummy.living ~ height + horizontalness + avg_pixel_weight",0.68125
"398","dummy.living ~ width + left2tile + bottom2tile",0.68125
"403","dummy.living ~ width + left2tile + nr_eyes",0.68125
"597","dummy.living ~ rows_with_5 + neigh1 + right2tile",0.68125
"623","dummy.living ~ rows_with_5 + left2tile + bottom2tile",0.68125
"636","dummy.living ~ rows_with_5 + right2tile + right_diagonals",0.68125
"724","dummy.living ~ cols_with_5 + right2tile + bottom2tile",0.68125
"734","dummy.living ~ cols_with_5 + verticalness + horizontalness",0.68125
"737","dummy.living ~ cols_with_5 + verticalness + nr_regions",0.68125
"744","dummy.living ~ cols_with_5 + top2tile + right_diagonals",0.68125
"792","dummy.living ~ neigh1 + left2tile + bottom2tile",0.68125
"868","dummy.living ~ neigh5 + right2tile + bottom2tile",0.68125
"931","dummy.living ~ left2tile + verticalness + top2tile",0.68125
"956","dummy.living ~ left2tile + horizontalness + right_diagonals",0.68125
"1027","dummy.living ~ verticalness + top2tile + hollowness",0.68125
"1038","dummy.living ~ verticalness + horizontalness + nr_regions",0.68125
"1043","dummy.living ~ verticalness + left_diagonals + nr_regions",0.68125
"1096","dummy.living ~ bottom2tile + right_diagonals + nr_regions",0.68125
"1111","dummy.living ~ horizontalness + right_diagonals + nr_regions",0.68125
"1127","dummy.living ~ left_diagonals + nr_regions + avg_pixel_weight",0.68125
"10","dummy.living ~ nr_pix + height + top2tile",0.675
"15","dummy.living ~ nr_pix + height + nr_regions",0.675
"170","dummy.living ~ nr_pix + nr_eyes + avg_pixel_weight",0.675
"206","dummy.living ~ height + rows_with_5 + neigh1",0.675
"212","dummy.living ~ height + rows_with_5 + bottom2tile",0.675
"213","dummy.living ~ height + rows_with_5 + horizontalness",0.675
"238","dummy.living ~ height + neigh1 + top2tile",0.675
"455","dummy.living ~ width + nr_regions + nr_eyes",0.675
"596","dummy.living ~ rows_with_5 + neigh1 + left2tile",0.675
"632","dummy.living ~ rows_with_5 + right2tile + top2tile",0.675
"729","dummy.living ~ cols_with_5 + right2tile + nr_eyes",0.675
"732","dummy.living ~ cols_with_5 + verticalness + top2tile",0.675
"758","dummy.living ~ cols_with_5 + horizontalness + nr_regions",0.675
"767","dummy.living ~ cols_with_5 + right_diagonals + nr_regions",0.675
"823","dummy.living ~ neigh1 + top2tile + nr_regions",0.675
"830","dummy.living ~ neigh1 + bottom2tile + nr_regions",0.675
"940","dummy.living ~ left2tile + top2tile + bottom2tile",0.675
"966","dummy.living ~ left2tile + right_diagonals + nr_regions",0.675
"975","dummy.living ~ left2tile + hollowness + avg_pixel_weight",0.675
"985","dummy.living ~ right2tile + top2tile + bottom2tile",0.675
"1048","dummy.living ~ verticalness + right_diagonals + nr_eyes",0.675
"1066","dummy.living ~ top2tile + horizontalness + nr_regions",0.675
"1081","dummy.living ~ top2tile + nr_regions + avg_pixel_weight",0.675
"1125","dummy.living ~ left_diagonals + nr_regions + nr_eyes",0.675
"7","dummy.living ~ nr_pix + height + left2tile",0.66875
"112","dummy.living ~ nr_pix + left2tile + right_diagonals",0.66875
"118","dummy.living ~ nr_pix + right2tile + top2tile",0.66875
"119","dummy.living ~ nr_pix + right2tile + bottom2tile",0.66875
"153","dummy.living ~ nr_pix + horizontalness + nr_regions",0.66875
"262","dummy.living ~ height + left2tile + bottom2tile",0.66875
"279","dummy.living ~ height + right2tile + avg_pixel_weight",0.66875
"359","dummy.living ~ width + cols_with_5 + right2tile",0.66875
"360","dummy.living ~ width + cols_with_5 + verticalness",0.66875
"385","dummy.living ~ width + neigh5 + verticalness",0.66875
"408","dummy.living ~ width + right2tile + bottom2tile",0.66875
"452","dummy.living ~ width + right_diagonals + nr_eyes",0.66875
"606","dummy.living ~ rows_with_5 + neigh1 + hollowness",0.66875
"611","dummy.living ~ rows_with_5 + neigh5 + top2tile",0.66875
"645","dummy.living ~ rows_with_5 + verticalness + right_diagonals",0.66875
"728","dummy.living ~ cols_with_5 + right2tile + nr_regions",0.66875
"874","dummy.living ~ neigh5 + right2tile + hollowness",0.66875
"906","dummy.living ~ neigh5 + left_diagonals + right_diagonals",0.66875
"922","dummy.living ~ left2tile + right2tile + top2tile",0.66875
"937","dummy.living ~ left2tile + verticalness + nr_eyes",0.66875
"993","dummy.living ~ right2tile + bottom2tile + horizontalness",0.66875
"999","dummy.living ~ right2tile + bottom2tile + avg_pixel_weight",0.66875
"1025","dummy.living ~ verticalness + top2tile + nr_regions",0.66875
"1129","dummy.living ~ left_diagonals + nr_eyes + avg_pixel_weight",0.66875
"1133","dummy.living ~ right_diagonals + nr_regions + avg_pixel_weight",0.66875
"104","dummy.living ~ nr_pix + neigh5 + hollowness",0.6625
"140","dummy.living ~ nr_pix + top2tile + nr_regions",0.6625
"159","dummy.living ~ nr_pix + left_diagonals + nr_eyes",0.6625
"261","dummy.living ~ height + left2tile + top2tile",0.6625
"270","dummy.living ~ height + right2tile + verticalness",0.6625
"272","dummy.living ~ height + right2tile + bottom2tile",0.6625
"281","dummy.living ~ height + verticalness + bottom2tile",0.6625
"282","dummy.living ~ height + verticalness + horizontalness",0.6625
"306","dummy.living ~ height + horizontalness + nr_regions",0.6625
"331","dummy.living ~ width + span + verticalness",0.6625
"464","dummy.living ~ span + rows_with_5 + left2tile",0.6625
"508","dummy.living ~ span + neigh5 + horizontalness",0.6625
"521","dummy.living ~ span + left2tile + right_diagonals",0.6625
"536","dummy.living ~ span + verticalness + top2tile",0.6625
"622","dummy.living ~ rows_with_5 + left2tile + top2tile",0.6625
"713","dummy.living ~ cols_with_5 + left2tile + top2tile",0.6625
"742","dummy.living ~ cols_with_5 + top2tile + horizontalness",0.6625
"753","dummy.living ~ cols_with_5 + bottom2tile + nr_eyes",0.6625
"771","dummy.living ~ cols_with_5 + nr_regions + nr_eyes",0.6625
"845","dummy.living ~ neigh1 + right_diagonals + nr_regions",0.6625
"864","dummy.living ~ neigh5 + left2tile + hollowness",0.6625
"895","dummy.living ~ neigh5 + bottom2tile + right_diagonals",0.6625
"926","dummy.living ~ left2tile + right2tile + right_diagonals",0.6625
"947","dummy.living ~ left2tile + top2tile + avg_pixel_weight",0.6625
"982","dummy.living ~ right2tile + verticalness + nr_eyes",0.6625
"1014","dummy.living ~ right2tile + right_diagonals + avg_pixel_weight",0.6625
"1102","dummy.living ~ bottom2tile + nr_regions + avg_pixel_weight",0.6625
"12","dummy.living ~ nr_pix + height + horizontalness",0.65625
"36","dummy.living ~ nr_pix + span + rows_with_5",0.65625
"47","dummy.living ~ nr_pix + span + right_diagonals",0.65625
"86","dummy.living ~ nr_pix + neigh1 + bottom2tile",0.65625
"131","dummy.living ~ nr_pix + verticalness + right_diagonals",0.65625
"133","dummy.living ~ nr_pix + verticalness + nr_eyes",0.65625
"237","dummy.living ~ height + neigh1 + verticalness",0.65625
"260","dummy.living ~ height + left2tile + verticalness",0.65625
"263","dummy.living ~ height + left2tile + horizontalness",0.65625
"266","dummy.living ~ height + left2tile + nr_regions",0.65625
"285","dummy.living ~ height + verticalness + nr_regions",0.65625
"297","dummy.living ~ height + bottom2tile + horizontalness",0.65625
"355","dummy.living ~ width + rows_with_5 + avg_pixel_weight",0.65625
"409","dummy.living ~ width + right2tile + horizontalness",0.65625
"422","dummy.living ~ width + verticalness + nr_eyes",0.65625
"482","dummy.living ~ span + cols_with_5 + bottom2tile",0.65625
"523","dummy.living ~ span + left2tile + nr_eyes",0.65625
"537","dummy.living ~ span + verticalness + bottom2tile",0.65625
"612","dummy.living ~ rows_with_5 + neigh5 + bottom2tile",0.65625
"676","dummy.living ~ rows_with_5 + right_diagonals + nr_regions",0.65625
"727","dummy.living ~ cols_with_5 + right2tile + right_diagonals",0.65625
"793","dummy.living ~ neigh1 + left2tile + horizontalness",0.65625
"929","dummy.living ~ left2tile + right2tile + hollowness",0.65625
"936","dummy.living ~ left2tile + verticalness + nr_regions",0.65625
"948","dummy.living ~ left2tile + bottom2tile + horizontalness",0.65625
"951","dummy.living ~ left2tile + bottom2tile + nr_regions",0.65625
"969","dummy.living ~ left2tile + right_diagonals + avg_pixel_weight",0.65625
"986","dummy.living ~ right2tile + top2tile + horizontalness",0.65625
"1032","dummy.living ~ verticalness + bottom2tile + nr_regions",0.65625
"1036","dummy.living ~ verticalness + horizontalness + left_diagonals",0.65625
"1083","dummy.living ~ top2tile + nr_eyes + avg_pixel_weight",0.65625
"1118","dummy.living ~ horizontalness + nr_eyes + hollowness",0.65625
"11","dummy.living ~ nr_pix + height + bottom2tile",0.65
"92","dummy.living ~ nr_pix + neigh1 + hollowness",0.65
"114","dummy.living ~ nr_pix + left2tile + nr_eyes",0.65
"147","dummy.living ~ nr_pix + bottom2tile + nr_regions",0.65
"162","dummy.living ~ nr_pix + right_diagonals + nr_regions",0.65
"209","dummy.living ~ height + rows_with_5 + right2tile",0.65
"397","dummy.living ~ width + left2tile + top2tile",0.65
"413","dummy.living ~ width + right2tile + nr_eyes",0.65
"646","dummy.living ~ rows_with_5 + verticalness + nr_regions",0.65
"682","dummy.living ~ rows_with_5 + nr_regions + avg_pixel_weight",0.65
"719","dummy.living ~ cols_with_5 + left2tile + nr_eyes",0.65
"811","dummy.living ~ neigh1 + verticalness + bottom2tile",0.65
"827","dummy.living ~ neigh1 + bottom2tile + horizontalness",0.65
"835","dummy.living ~ neigh1 + horizontalness + right_diagonals",0.65
"850","dummy.living ~ neigh1 + nr_regions + hollowness",0.65
"853","dummy.living ~ neigh1 + nr_eyes + avg_pixel_weight",0.65
"861","dummy.living ~ neigh5 + left2tile + right_diagonals",0.65
"944","dummy.living ~ left2tile + top2tile + nr_regions",0.65
"978","dummy.living ~ right2tile + verticalness + horizontalness",0.65
"1024","dummy.living ~ verticalness + top2tile + right_diagonals",0.65
"1035","dummy.living ~ verticalness + bottom2tile + avg_pixel_weight",0.65
"1104","dummy.living ~ bottom2tile + nr_eyes + avg_pixel_weight",0.65
"1117","dummy.living ~ horizontalness + nr_regions + avg_pixel_weight",0.65
"1119","dummy.living ~ horizontalness + nr_eyes + avg_pixel_weight",0.65
"1120","dummy.living ~ horizontalness + hollowness + avg_pixel_weight",0.65
"31","dummy.living ~ nr_pix + width + right_diagonals",0.64375
"90","dummy.living ~ nr_pix + neigh1 + nr_regions",0.64375
"96","dummy.living ~ nr_pix + neigh5 + verticalness",0.64375
"122","dummy.living ~ nr_pix + right2tile + right_diagonals",0.64375
"124","dummy.living ~ nr_pix + right2tile + nr_eyes",0.64375
"235","dummy.living ~ height + neigh1 + left2tile",0.64375
"273","dummy.living ~ height + right2tile + horizontalness",0.64375
"276","dummy.living ~ height + right2tile + nr_regions",0.64375
"366","dummy.living ~ width + cols_with_5 + nr_regions",0.64375
"407","dummy.living ~ width + right2tile + top2tile",0.64375
"531","dummy.living ~ span + right2tile + right_diagonals",0.64375
"560","dummy.living ~ span + horizontalness + left_diagonals",0.64375
"574","dummy.living ~ span + right_diagonals + avg_pixel_weight",0.64375
"746","dummy.living ~ cols_with_5 + top2tile + nr_eyes",0.64375
"751","dummy.living ~ cols_with_5 + bottom2tile + right_diagonals",0.64375
"795","dummy.living ~ neigh1 + left2tile + right_diagonals",0.64375
"798","dummy.living ~ neigh1 + left2tile + hollowness",0.64375
"820","dummy.living ~ neigh1 + top2tile + horizontalness",0.64375
"849","dummy.living ~ neigh1 + nr_regions + nr_eyes",0.64375
"871","dummy.living ~ neigh5 + right2tile + right_diagonals",0.64375
"882","dummy.living ~ neigh5 + verticalness + nr_eyes",0.64375
"883","dummy.living ~ neigh5 + verticalness + hollowness",0.64375
"941","dummy.living ~ left2tile + top2tile + horizontalness",0.64375
"954","dummy.living ~ left2tile + bottom2tile + avg_pixel_weight",0.64375
"1006","dummy.living ~ right2tile + left_diagonals + right_diagonals",0.64375
"1028","dummy.living ~ verticalness + top2tile + avg_pixel_weight",0.64375
"1131","dummy.living ~ right_diagonals + nr_regions + nr_eyes",0.64375
"108","dummy.living ~ nr_pix + left2tile + top2tile",0.6375
"115","dummy.living ~ nr_pix + left2tile + hollowness",0.6375
"132","dummy.living ~ nr_pix + verticalness + nr_regions",0.6375
"239","dummy.living ~ height + neigh1 + bottom2tile",0.6375
"240","dummy.living ~ height + neigh1 + horizontalness",0.6375
"326","dummy.living ~ width + span + cols_with_5",0.6375
"362","dummy.living ~ width + cols_with_5 + bottom2tile",0.6375
"367","dummy.living ~ width + cols_with_5 + nr_eyes",0.6375
"399","dummy.living ~ width + left2tile + horizontalness",0.6375
"401","dummy.living ~ width + left2tile + right_diagonals",0.6375
"411","dummy.living ~ width + right2tile + right_diagonals",0.6375
"420","dummy.living ~ width + verticalness + right_diagonals",0.6375
"443","dummy.living ~ width + horizontalness + nr_eyes",0.6375
"483","dummy.living ~ span + cols_with_5 + horizontalness",0.6375
"542","dummy.living ~ span + verticalness + nr_eyes",0.6375
"548","dummy.living ~ span + top2tile + right_diagonals",0.6375
"553","dummy.living ~ span + bottom2tile + horizontalness",0.6375
"555","dummy.living ~ span + bottom2tile + right_diagonals",0.6375
"561","dummy.living ~ span + horizontalness + right_diagonals",0.6375
"637","dummy.living ~ rows_with_5 + right2tile + nr_regions",0.6375
"639","dummy.living ~ rows_with_5 + right2tile + hollowness",0.6375
"643","dummy.living ~ rows_with_5 + verticalness + horizontalness",0.6375
"679","dummy.living ~ rows_with_5 + right_diagonals + avg_pixel_weight",0.6375
"687","dummy.living ~ cols_with_5 + neigh1 + left2tile",0.6375
"692","dummy.living ~ cols_with_5 + neigh1 + horizontalness",0.6375
"714","dummy.living ~ cols_with_5 + left2tile + bottom2tile",0.6375
"919","dummy.living ~ neigh5 + nr_eyes + avg_pixel_weight",0.6375
"927","dummy.living ~ left2tile + right2tile + nr_regions",0.6375
"980","dummy.living ~ right2tile + verticalness + right_diagonals",0.6375
"983","dummy.living ~ right2tile + verticalness + hollowness",0.6375
"1121","dummy.living ~ left_diagonals + right_diagonals + nr_regions",0.6375
"42","dummy.living ~ nr_pix + span + verticalness",0.63125
"51","dummy.living ~ nr_pix + span + avg_pixel_weight",0.63125
"66","dummy.living ~ nr_pix + rows_with_5 + avg_pixel_weight",0.63125
"78","dummy.living ~ nr_pix + cols_with_5 + nr_eyes",0.63125
"101","dummy.living ~ nr_pix + neigh5 + right_diagonals",0.63125
"125","dummy.living ~ nr_pix + right2tile + hollowness",0.63125
"134","dummy.living ~ nr_pix + verticalness + hollowness",0.63125
"163","dummy.living ~ nr_pix + right_diagonals + nr_eyes",0.63125
"332","dummy.living ~ width + span + top2tile",0.63125
"358","dummy.living ~ width + cols_with_5 + left2tile",0.63125
"475","dummy.living ~ span + rows_with_5 + avg_pixel_weight",0.63125
"546","dummy.living ~ span + top2tile + horizontalness",0.63125
"619","dummy.living ~ rows_with_5 + neigh5 + avg_pixel_weight",0.63125
"630","dummy.living ~ rows_with_5 + left2tile + avg_pixel_weight",0.63125
"664","dummy.living ~ rows_with_5 + bottom2tile + avg_pixel_weight",0.63125
"694","dummy.living ~ cols_with_5 + neigh1 + right_diagonals",0.63125
"757","dummy.living ~ cols_with_5 + horizontalness + right_diagonals",0.63125
"803","dummy.living ~ neigh1 + right2tile + horizontalness",0.63125
"810","dummy.living ~ neigh1 + verticalness + top2tile",0.63125
"825","dummy.living ~ neigh1 + top2tile + hollowness",0.63125
"839","dummy.living ~ neigh1 + horizontalness + avg_pixel_weight",0.63125
"866","dummy.living ~ neigh5 + right2tile + verticalness",0.63125
"935","dummy.living ~ left2tile + verticalness + right_diagonals",0.63125
"961","dummy.living ~ left2tile + left_diagonals + right_diagonals",0.63125
"1018","dummy.living ~ right2tile + nr_eyes + hollowness",0.63125
"1020","dummy.living ~ right2tile + hollowness + avg_pixel_weight",0.63125
"1070","dummy.living ~ top2tile + left_diagonals + right_diagonals",0.63125
"1080","dummy.living ~ top2tile + nr_regions + hollowness",0.63125
"1086","dummy.living ~ bottom2tile + horizontalness + right_diagonals",0.63125
"20","dummy.living ~ nr_pix + width + rows_with_5",0.625
"37","dummy.living ~ nr_pix + span + cols_with_5",0.625
"87","dummy.living ~ nr_pix + neigh1 + horizontalness",0.625
"113","dummy.living ~ nr_pix + left2tile + nr_regions",0.625
"128","dummy.living ~ nr_pix + verticalness + bottom2tile",0.625
"129","dummy.living ~ nr_pix + verticalness + horizontalness",0.625
"218","dummy.living ~ height + rows_with_5 + hollowness",0.625
"236","dummy.living ~ height + neigh1 + right2tile",0.625
"280","dummy.living ~ height + verticalness + top2tile",0.625
"287","dummy.living ~ height + verticalness + hollowness",0.625
"471","dummy.living ~ span + rows_with_5 + right_diagonals",0.625
"504","dummy.living ~ span + neigh5 + right2tile",0.625
"520","dummy.living ~ span + left2tile + left_diagonals",0.625
"627","dummy.living ~ rows_with_5 + left2tile + nr_regions",0.625
"641","dummy.living ~ rows_with_5 + verticalness + top2tile",0.625
"809","dummy.living ~ neigh1 + right2tile + avg_pixel_weight",0.625
"832","dummy.living ~ neigh1 + bottom2tile + hollowness",0.625
"876","dummy.living ~ neigh5 + verticalness + top2tile",0.625
"888","dummy.living ~ neigh5 + top2tile + right_diagonals",0.625
"894","dummy.living ~ neigh5 + bottom2tile + left_diagonals",0.625
"938","dummy.living ~ left2tile + verticalness + hollowness",0.625
"1016","dummy.living ~ right2tile + nr_regions + hollowness",0.625
"1040","dummy.living ~ verticalness + horizontalness + hollowness",0.625
"1050","dummy.living ~ verticalness + right_diagonals + avg_pixel_weight",0.625
"1051","dummy.living ~ verticalness + nr_regions + nr_eyes",0.625
"109","dummy.living ~ nr_pix + left2tile + bottom2tile",0.61875
"110","dummy.living ~ nr_pix + left2tile + horizontalness",0.61875
"127","dummy.living ~ nr_pix + verticalness + top2tile",0.61875
"329","dummy.living ~ width + span + left2tile",0.61875
"334","dummy.living ~ width + span + horizontalness",0.61875
"424","dummy.living ~ width + verticalness + avg_pixel_weight",0.61875
"481","dummy.living ~ span + cols_with_5 + top2tile",0.61875
"530","dummy.living ~ span + right2tile + left_diagonals",0.61875
