"","formulae","accuracy"
"496","dummy.living ~ span + neigh1 + horizontalness",0.83125
"500","dummy.living ~ span + neigh1 + nr_eyes",0.83125
"617","dummy.living ~ rows_with_5 + neigh5 + nr_eyes",0.83125
"677","dummy.living ~ rows_with_5 + right_diagonals + nr_eyes",0.83125
"756","dummy.living ~ cols_with_5 + horizontalness + left_diagonals",0.83125
"68","dummy.living ~ nr_pix + cols_with_5 + neigh5",0.825
"75","dummy.living ~ nr_pix + cols_with_5 + left_diagonals",0.825
"138","dummy.living ~ nr_pix + top2tile + left_diagonals",0.825
"145","dummy.living ~ nr_pix + bottom2tile + left_diagonals",0.825
"183","dummy.living ~ height + width + left_diagonals",0.825
"214","dummy.living ~ height + rows_with_5 + left_diagonals",0.825
"256","dummy.living ~ height + neigh5 + nr_eyes",0.825
"258","dummy.living ~ height + neigh5 + avg_pixel_weight",0.825
"274","dummy.living ~ height + right2tile + left_diagonals",0.825
"304","dummy.living ~ height + horizontalness + left_diagonals",0.825
"364","dummy.living ~ width + cols_with_5 + left_diagonals",0.825
"423","dummy.living ~ width + verticalness + hollowness",0.825
"476","dummy.living ~ span + cols_with_5 + neigh1",0.825
"477","dummy.living ~ span + cols_with_5 + neigh5",0.825
"511","dummy.living ~ span + neigh5 + nr_regions",0.825
"628","dummy.living ~ rows_with_5 + left2tile + nr_eyes",0.825
"647","dummy.living ~ rows_with_5 + verticalness + nr_eyes",0.825
"655","dummy.living ~ rows_with_5 + top2tile + nr_eyes",0.825
"703","dummy.living ~ cols_with_5 + neigh5 + bottom2tile",0.825
"716","dummy.living ~ cols_with_5 + left2tile + left_diagonals",0.825
"726","dummy.living ~ cols_with_5 + right2tile + left_diagonals",0.825
"764","dummy.living ~ cols_with_5 + left_diagonals + nr_eyes",0.825
"821","dummy.living ~ neigh1 + top2tile + left_diagonals",0.825
"1094","dummy.living ~ bottom2tile + left_diagonals + hollowness",0.825
"184","dummy.living ~ height + width + right_diagonals",0.81875
"197","dummy.living ~ height + span + bottom2tile",0.81875
"199","dummy.living ~ height + span + left_diagonals",0.81875
"253","dummy.living ~ height + neigh5 + left_diagonals",0.81875
"283","dummy.living ~ height + verticalness + left_diagonals",0.81875
"298","dummy.living ~ height + bottom2tile + left_diagonals",0.81875
"353","dummy.living ~ width + rows_with_5 + nr_eyes",0.81875
"370","dummy.living ~ width + neigh1 + neigh5",0.81875
"499","dummy.living ~ span + neigh1 + nr_regions",0.81875
"582","dummy.living ~ rows_with_5 + cols_with_5 + neigh5",0.81875
"613","dummy.living ~ rows_with_5 + neigh5 + horizontalness",0.81875
"638","dummy.living ~ rows_with_5 + right2tile + nr_eyes",0.81875
"668","dummy.living ~ rows_with_5 + horizontalness + nr_eyes",0.81875
"690","dummy.living ~ cols_with_5 + neigh1 + top2tile",0.81875
"828","dummy.living ~ neigh1 + bottom2tile + left_diagonals",0.81875
"1073","dummy.living ~ top2tile + left_diagonals + hollowness",0.81875
"1107","dummy.living ~ horizontalness + left_diagonals + nr_regions",0.81875
"38","dummy.living ~ nr_pix + span + neigh1",0.8125
"196","dummy.living ~ height + span + top2tile",0.8125
"462","dummy.living ~ span + rows_with_5 + neigh1",0.8125
"473","dummy.living ~ span + rows_with_5 + nr_eyes",0.8125
"484","dummy.living ~ span + cols_with_5 + left_diagonals",0.8125
"494","dummy.living ~ span + neigh1 + top2tile",0.8125
"587","dummy.living ~ rows_with_5 + cols_with_5 + bottom2tile",0.8125
"598","dummy.living ~ rows_with_5 + neigh1 + verticalness",0.8125
"662","dummy.living ~ rows_with_5 + bottom2tile + nr_eyes",0.8125
"684","dummy.living ~ rows_with_5 + nr_eyes + avg_pixel_weight",0.8125
"691","dummy.living ~ cols_with_5 + neigh1 + bottom2tile",0.8125
"702","dummy.living ~ cols_with_5 + neigh5 + top2tile",0.8125
